sample_id,source_sample_id,target_uid,target_class_id,target_class_name,target_instance_id,target_color,height,width,bbox,dice,iou,infer_ms
patient0006_4CH_ED_f000__la,patient0006_4CH_ED_f000,patient0006_4CH_ED_f000__la,3,LA,0,#2ca02c,669,552,"[301, 294, 513, 425]",0.8136079052576467,0.6857833163785666,269.1348749794997
patient0006_4CH_ES_f000__lv,patient0006_4CH_ES_f000,patient0006_4CH_ES_f000__lv,1,LV,0,#1f77b4,669,552,"[87, 298, 297, 413]",0.7666914786887062,0.6216542458278463,247.51333298627287
patient0006_4CH_ES_f000__la,patient0006_4CH_ES_f000,patient0006_4CH_ES_f000__la,3,LA,0,#2ca02c,669,552,"[284, 293, 508, 432]",0.8680275704124842,0.7668274842425621,240.8960000029765
patient0007_2CH_ED_f000__lv,patient0007_2CH_ED_f000,patient0007_2CH_ED_f000__lv,1,LV,0,#1f77b4,630,519,"[145, 212, 387, 343]",0.815783289538376,0.6888800692741778,243.6580829671584
patient0007_2CH_ED_f000__la,patient0007_2CH_ED_f000,patient0007_2CH_ED_f000__la,3,LA,0,#2ca02c,630,519,"[386, 226, 512, 324]",0.7834435673139624,0.6439845668189722,242.925499973353
patient0007_2CH_ES_f000__lv,patient0007_2CH_ES_f000,patient0007_2CH_ES_f000__lv,1,LV,0,#1f77b4,630,519,"[161, 248, 359, 343]",0.7733822782833705,0.6304998408152623,243.65462502464652
patient0007_2CH_ES_f000__la,patient0007_2CH_ES_f000,patient0007_2CH_ES_f000__la,3,LA,0,#2ca02c,630,519,"[354, 237, 518, 346]",0.7571648690293694,0.6092239028021267,243.26995899900794
patient0007_4CH_ED_f000__lv,patient0007_4CH_ED_f000,patient0007_4CH_ED_f000__lv,1,LV,0,#1f77b4,590,487,"[132, 206, 408, 365]",0.8941904661749178,0.8086297312719593,242.33854201156646
patient0007_4CH_ED_f000__la,patient0007_4CH_ED_f000,patient0007_4CH_ED_f000__la,3,LA,0,#2ca02c,590,487,"[392, 211, 486, 320]",0.7554059109616496,0.6069496212581376,244.13716699928045
patient0007_4CH_ES_f000__lv,patient0007_4CH_ES_f000,patient0007_4CH_ES_f000__lv,1,LV,0,#1f77b4,590,487,"[145, 210, 377, 355]",0.8594068660775281,0.7534736449991606,242.84174997592345
